label,beijingValue,shanghaiValue,chengduValue,guangzhouValue,shenzhenValue
1/5/2015 10:00,181,61,86,94,152
1/5/2015 11:00,139,48,115,90,154
1/5/2015 12:00,36,41,129,101,67
1/5/2015 13:00,22,42,130,105,25
1/5/2015 14:00,14,46,134,85,27
1/5/2015 15:00,15,64,148,68,37
1/5/2015 16:00,12,83,143,66,46
1/5/2015 17:00,9,99,164,61,37
1/5/2015 18:00,25,126,179,55,39
1/5/2015 19:00,29,143,189,56,22
1/5/2015 20:00,27,141,188,59,18
1/5/2015 21:00,23,118,212,61,20
1/5/2015 22:00,15,128,213,70,16
1/5/2015 23:00,16,161,197,77,16
1/6/2015 0:00,16,199,214,93,12
1/6/2015 1:00,15,211,109,111,15
1/6/2015 2:00,16,253,80,113,18
1/6/2015 3:00,20,238,81,106,25
1/6/2015 4:00,10,174,43,77,31
1/6/2015 5:00,17,175,30,70,28
1/6/2015 6:00,16,150,23,58,40
1/6/2015 7:00,22,101,17,56,35
1/6/2015 8:00,23,62,15,69,51
1/6/2015 9:00,17,46,22,84,63
1/6/2015 10:00,23,44,24,103,106
1/6/2015 11:00,13,25,25,92,43
1/6/2015 12:00,17,26,25,76,29
1/6/2015 13:00,32,30,21,80,12
1/6/2015 14:00,36,36,30,85,19
1/6/2015 15:00,41,37,27,91,22
1/6/2015 16:00,54,28,27,94,25
1/6/2015 17:00,64,21,35,123,38
1/6/2015 18:00,61,29,53,161,42
1/6/2015 19:00,92,21,52,175,45
1/6/2015 20:00,102,26,59,187,40
1/6/2015 21:00,96,19,59,180,44
1/6/2015 22:00,112,27,59,146,24
1/6/2015 23:00,121,19,65,83,32
1/7/2015 0:00,134,18,77,61,25
1/7/2015 1:00,159,16,73,66,24
1/7/2015 2:00,109,18,80,74,18
1/7/2015 3:00,57,17,105,79,22
1/7/2015 4:00,30,16,104,86,34
1/7/2015 5:00,20,20,71,80,31
1/7/2015 6:00,29,27,65,72,28
1/7/2015 7:00,29,29,75,62,33
1/7/2015 8:00,41,37,84,50,41
1/7/2015 9:00,51,41,83,50,64
1/7/2015 10:00,68,35,71,48,49
1/7/2015 11:00,74,44,67,51,47
1/7/2015 12:00,58,46,47,41,36
1/7/2015 13:00,59,48,60,42,32
1/7/2015 14:00,73,55,60,36,33
1/7/2015 15:00,74,65,74,37,39
1/7/2015 16:00,84,69,67,38,41
1/7/2015 17:00,94,68,64,35,44
1/7/2015 18:00,85,69,73,37,50
1/7/2015 19:00,85,75,80,39,58
1/7/2015 20:00,107,59,77,41,59
1/7/2015 21:00,109,50,71,42,75
1/7/2015 22:00,74,50,85,42,69
1/7/2015 23:00,65,50,80,40,71
1/8/2015 0:00,78,58,87,41,127
1/8/2015 1:00,66,44,78,45,163
1/8/2015 2:00,86,39,106,47,165
1/8/2015 3:00,132,48,113,49,227
1/8/2015 4:00,203,50,129,43,178
1/8/2015 5:00,197,57,105,43,187
1/8/2015 6:00,151,55,98,42,226
1/8/2015 7:00,143,86,88,43,236
1/8/2015 8:00,122,90,83,47,197
1/8/2015 9:00,106,83,75,52,189
1/8/2015 10:00,84,78,80,55,196
1/8/2015 11:00,91,84,85,59,233
1/8/2015 12:00,105,75,93,59,129
1/8/2015 13:00,124,69,84,57,154
1/8/2015 14:00,178,78,61,50,129
1/8/2015 15:00,140,86,68,52,134
1/8/2015 16:00,166,95,71,54,143
1/8/2015 17:00,159,89,75,54,159
1/8/2015 18:00,165,100,111,62,169
1/8/2015 19:00,210,108,134,71,192
1/8/2015 20:00,358,104,120,-999,191
1/8/2015 21:00,359,102,111,-999,232
1/8/2015 22:00,356,94,107,-999,250
1/8/2015 23:00,259,98,106,60,271
1/9/2015 0:00,226,101,101,55,311
1/9/2015 1:00,294,92,109,51,323
1/9/2015 2:00,250,93,110,51,261
1/9/2015 3:00,215,97,110,53,287
1/9/2015 4:00,55,103,114,51,296
1/9/2015 5:00,40,106,101,54,294
1/9/2015 6:00,16,134,111,57,332
1/9/2015 7:00,11,169,117,54,373
1/9/2015 8:00,12,180,120,59,421
1/9/2015 9:00,16,166,112,53,441
1/9/2015 10:00,16,172,122,57,225
1/9/2015 11:00,13,175,127,61,229
1/9/2015 12:00,11,171,115,68,200
1/9/2015 13:00,14,158,115,68,199
1/9/2015 14:00,10,162,104,65,185
1/9/2015 15:00,13,161,64,67,178
1/9/2015 16:00,21,164,85,63,168
1/9/2015 17:00,22,169,102,64,148
1/9/2015 18:00,43,170,104,68,144
1/9/2015 19:00,101,183,108,73,153
1/9/2015 20:00,163,179,101,69,147
1/9/2015 21:00,260,173,99,72,137
1/9/2015 22:00,283,178,104,70,144
1/9/2015 23:00,290,183,105,73,138
1/10/2015 0:00,247,185,77,75,133
1/10/2015 1:00,270,189,79,73,159
1/10/2015 2:00,291,186,88,71,180
1/10/2015 3:00,227,205,94,62,218
1/10/2015 4:00,209,212,95,65,234
1/10/2015 5:00,174,221,91,57,292
1/10/2015 6:00,166,203,94,56,299
1/10/2015 7:00,182,186,93,55,303
1/10/2015 8:00,193,184,90,57,287
1/10/2015 9:00,258,186,86,58,296
1/10/2015 10:00,230,185,90,56,193
1/10/2015 11:00,197,190,102,47,173
1/10/2015 12:00,185,165,99,48,217
1/10/2015 13:00,156,134,98,48,169
1/10/2015 14:00,137,111,101,49,143
1/10/2015 15:00,75,119,97,57,96
1/10/2015 16:00,92,120,111,56,91
1/10/2015 17:00,82,135,112,53,48
1/10/2015 18:00,162,132,115,61,66
1/10/2015 19:00,212,125,110,71,42
1/10/2015 20:00,233,143,103,68,37
1/10/2015 21:00,232,165,110,67,46
1/10/2015 22:00,57,199,105,81,41
1/10/2015 23:00,23,213,109,75,46
1/11/2015 0:00,7,235,130,69,82
1/11/2015 1:00,6,254,161,73,125
1/11/2015 2:00,7,240,176,63,164
1/11/2015 3:00,9,229,181,53,175
1/11/2015 4:00,12,223,181,60,147
1/11/2015 5:00,9,204,167,53,100
1/11/2015 6:00,6,214,155,54,91
1/11/2015 7:00,9,210,150,56,83
1/11/2015 8:00,16,217,146,48,89
1/11/2015 9:00,13,195,145,50,103
1/11/2015 10:00,8,186,151,52,104
1/11/2015 11:00,8,142,143,53,106
1/11/2015 12:00,14,127,148,53,84
1/11/2015 13:00,22,114,132,59,67
1/11/2015 14:00,28,103,123,57,61
1/11/2015 15:00,31,118,142,57,57
1/11/2015 16:00,28,175,135,56,51
1/11/2015 17:00,62,214,147,60,56
1/11/2015 18:00,81,234,142,63,55
1/11/2015 19:00,90,255,113,64,72
1/11/2015 20:00,89,220,117,66,170
1/11/2015 21:00,89,179,124,70,186
1/11/2015 22:00,105,101,101,71,190
1/11/2015 23:00,84,66,81,70,184
1/12/2015 0:00,60,35,101,62,193
1/12/2015 1:00,57,25,110,72,288
1/12/2015 2:00,77,21,104,67,291
1/12/2015 3:00,82,19,103,57,256
1/12/2015 4:00,82,16,109,54,288
1/12/2015 5:00,95,16,116,49,344
1/12/2015 6:00,103,17,112,46,274
1/12/2015 7:00,115,22,99,42,245
1/12/2015 8:00,110,18,95,33,290
1/12/2015 9:00,120,24,95,34,255
1/12/2015 10:00,144,23,104,27,218
1/12/2015 11:00,148,24,115,17,137
1/12/2015 12:00,114,29,123,19,124
1/12/2015 13:00,94,34,97,13,80
1/12/2015 14:00,86,20,91,13,89
1/12/2015 15:00,86,24,98,12,85
1/12/2015 16:00,74,25,105,12,91
1/12/2015 17:00,69,22,133,16,136
1/12/2015 18:00,66,25,174,14,192
1/12/2015 19:00,109,24,190,18,166
1/12/2015 20:00,206,24,215,22,153
1/12/2015 21:00,200,19,233,23,222
1/12/2015 22:00,162,19,217,16,278
1/12/2015 23:00,161,23,177,17,272
1/13/2015 0:00,156,15,170,8,221
1/13/2015 1:00,204,17,183,8,219
1/13/2015 2:00,179,15,172,10,236
1/13/2015 3:00,166,24,182,13,211
1/13/2015 4:00,128,18,177,12,187
1/13/2015 5:00,136,15,182,11,193
1/13/2015 6:00,150,27,188,12,210
1/13/2015 7:00,157,25,206,11,193
1/13/2015 8:00,152,29,217,14,190
1/13/2015 9:00,149,28,226,18,219
1/13/2015 10:00,135,33,229,18,235
1/13/2015 11:00,130,19,211,17,100
1/13/2015 12:00,132,20,220,16,66
1/13/2015 13:00,159,24,216,17,61
1/13/2015 14:00,183,18,222,17,49
1/13/2015 15:00,202,26,218,17,51
1/13/2015 16:00,190,25,213,20,60
1/13/2015 17:00,201,25,213,21,78
1/13/2015 18:00,234,31,235,22,87
1/13/2015 19:00,254,26,262,22,91
1/13/2015 20:00,257,31,288,20,91
1/13/2015 21:00,331,28,246,22,88
1/13/2015 22:00,350,22,197,20,104
1/13/2015 23:00,334,20,170,19,124
1/14/2015 0:00,287,17,153,21,112
1/14/2015 1:00,272,14,154,19,140
1/14/2015 2:00,259,14,156,24,169
1/14/2015 3:00,202,15,155,25,181
1/14/2015 4:00,159,11,161,19,177
1/14/2015 5:00,170,13,164,21,215
1/14/2015 6:00,163,13,180,24,219
1/14/2015 7:00,160,20,185,22,212
1/14/2015 8:00,170,28,215,24,171
1/14/2015 9:00,172,33,216,23,173
1/14/2015 10:00,235,22,200,23,197
1/14/2015 11:00,225,28,175,17,207
1/14/2015 12:00,228,39,180,20,178
1/14/2015 13:00,231,48,230,21,162
1/14/2015 14:00,248,38,240,17,163
1/14/2015 15:00,262,38,251,22,168
1/14/2015 16:00,261,30,239,25,191
1/14/2015 17:00,261,29,243,27,202
1/14/2015 18:00,250,29,262,31,196
1/14/2015 19:00,259,28,261,38,191
1/14/2015 20:00,280,29,262,31,192
1/14/2015 21:00,307,32,262,27,189
1/14/2015 22:00,325,40,265,26,196
1/14/2015 23:00,328,40,262,29,193
1/15/2015 0:00,302,50,254,34,188
1/15/2015 1:00,306,70,251,36,199
1/15/2015 2:00,308,69,249,32,229
1/15/2015 3:00,316,68,254,30,252
1/15/2015 4:00,321,67,261,34,241
1/15/2015 5:00,261,58,257,35,237
1/15/2015 6:00,237,72,257,34,244
1/15/2015 7:00,211,85,263,35,254
1/15/2015 8:00,218,112,274,37,217
1/15/2015 9:00,230,114,274,38,179
1/15/2015 10:00,-999,113,335,38,175
1/15/2015 11:00,333,116,349,33,153
1/15/2015 12:00,436,120,326,35,131
1/15/2015 13:00,568,95,294,38,129
1/15/2015 14:00,441,87,269,47,157
1/15/2015 15:00,466,54,253,62,157
1/15/2015 16:00,475,55,212,48,155
1/15/2015 17:00,475,63,188,48,149
1/15/2015 18:00,433,89,186,59,153
1/15/2015 19:00,423,87,184,88,167
1/15/2015 20:00,447,91,174,101,167
1/15/2015 21:00,461,93,189,92,186
1/15/2015 22:00,470,104,189,92,195
1/15/2015 23:00,483,111,200,100,191
1/16/2015 0:00,484,120,172,98,182
1/16/2015 1:00,502,120,167,133,168
1/16/2015 2:00,490,108,153,126,132
1/16/2015 3:00,355,91,143,110,113
1/16/2015 4:00,31,84,130,84,85
1/16/2015 5:00,11,82,137,45,75
1/16/2015 6:00,9,86,146,39,83
1/16/2015 7:00,14,88,167,39,90
1/16/2015 8:00,22,89,162,41,89
1/16/2015 9:00,17,92,149,44,87
1/16/2015 10:00,16,93,154,44,-999
1/16/2015 11:00,21,103,120,41,50
1/16/2015 12:00,16,-999,121,48,28
1/16/2015 13:00,13,98,98,50,40
1/16/2015 14:00,16,110,81,44,45
1/16/2015 15:00,13,115,69,34,56
1/16/2015 16:00,13,125,71,34,66
1/16/2015 17:00,12,139,90,40,66
1/16/2015 18:00,10,149,92,51,68
1/16/2015 19:00,14,154,102,59,67
1/16/2015 20:00,15,171,107,61,81
1/16/2015 21:00,11,162,104,62,107
1/16/2015 22:00,9,174,119,55,90
1/16/2015 23:00,10,183,132,56,52
1/17/2015 0:00,14,191,137,43,34
1/17/2015 1:00,24,191,158,41,43
1/17/2015 2:00,14,209,159,38,74
1/17/2015 3:00,11,223,148,38,90
1/17/2015 4:00,10,139,165,40,88
1/17/2015 5:00,16,86,149,40,29
1/17/2015 6:00,13,80,149,41,49
1/17/2015 7:00,15,83,149,38,88
1/17/2015 8:00,14,92,157,41,-999
1/17/2015 9:00,25,76,175,42,-999
1/17/2015 10:00,20,62,173,41,-999
1/17/2015 11:00,69,49,203,39,-999
1/17/2015 12:00,82,42,207,36,-999
1/17/2015 13:00,89,47,208,37,82
1/17/2015 14:00,89,39,227,34,28
1/17/2015 15:00,98,34,228,41,37
1/17/2015 16:00,117,34,210,46,49
1/17/2015 17:00,122,36,206,51,69
1/17/2015 18:00,126,34,178,64,57
1/17/2015 19:00,149,30,170,78,59
1/17/2015 20:00,143,26,185,82,62
1/17/2015 21:00,96,24,210,84,66
1/17/2015 22:00,201,26,191,80,90
1/17/2015 23:00,179,24,187,75,80
1/18/2015 0:00,177,22,164,66,102
1/18/2015 1:00,157,28,166,67,101
1/18/2015 2:00,135,31,122,89,114
1/18/2015 3:00,135,31,106,78,103
1/18/2015 4:00,133,37,80,81,111
1/18/2015 5:00,132,33,57,77,104
1/18/2015 6:00,141,37,59,75,81
1/18/2015 7:00,156,32,58,75,74
1/18/2015 8:00,158,38,94,90,70
1/18/2015 9:00,146,40,71,81,61
1/18/2015 10:00,133,57,76,76,66
1/18/2015 11:00,74,135,85,72,66
1/18/2015 12:00,35,169,71,74,61
1/18/2015 13:00,17,181,58,74,73
1/18/2015 14:00,15,144,58,78,79
1/18/2015 15:00,13,137,58,70,95
1/18/2015 16:00,10,122,57,72,91
1/18/2015 17:00,16,117,59,77,101
1/18/2015 18:00,19,120,65,81,159
1/18/2015 19:00,15,138,64,90,138
1/18/2015 20:00,12,137,95,93,166
1/18/2015 21:00,19,130,88,84,122
1/18/2015 22:00,13,131,85,71,108
1/18/2015 23:00,12,129,118,66,95
1/19/2015 0:00,8,129,138,54,72
1/19/2015 1:00,6,127,163,58,56
1/19/2015 2:00,15,126,168,56,46
1/19/2015 3:00,26,130,158,61,46
1/19/2015 4:00,19,128,157,63,46
1/19/2015 5:00,20,127,161,67,54
1/19/2015 6:00,40,132,164,69,58
1/19/2015 7:00,41,132,164,67,66
1/19/2015 8:00,53,126,143,75,74
1/19/2015 9:00,39,124,104,71,48
1/19/2015 10:00,43,105,112,69,58
1/19/2015 11:00,56,104,154,64,45
1/19/2015 12:00,64,71,131,59,46
1/19/2015 13:00,50,50,100,56,41
1/19/2015 14:00,48,45,86,59,117
1/19/2015 15:00,46,48,81,57,107
1/19/2015 16:00,69,45,74,60,136
1/19/2015 17:00,83,51,88,69,132
1/19/2015 18:00,88,61,102,76,122
1/19/2015 19:00,92,51,167,83,137
1/19/2015 20:00,80,42,170,104,170
1/19/2015 21:00,61,52,162,109,166
1/19/2015 22:00,63,67,161,111,236
1/19/2015 23:00,90,-999,162,123,208
1/20/2015 0:00,91,50,165,122,173
1/20/2015 1:00,75,41,177,117,312
1/20/2015 2:00,79,44,192,140,302
1/20/2015 3:00,78,32,191,143,260
1/20/2015 4:00,73,33,206,146,307
1/20/2015 5:00,78,30,197,145,321
1/20/2015 6:00,80,22,172,146,278
1/20/2015 7:00,86,25,170,142,270
1/20/2015 8:00,85,24,186,142,294
1/20/2015 9:00,97,28,227,144,311
1/20/2015 10:00,99,29,206,132,330
1/20/2015 11:00,92,33,203,153,299
1/20/2015 12:00,70,30,205,182,258
1/20/2015 13:00,82,37,169,180,215
1/20/2015 14:00,88,39,133,147,206
1/20/2015 15:00,92,49,128,138,200
1/20/2015 16:00,94,46,118,143,208
1/20/2015 17:00,102,37,113,154,209
1/20/2015 18:00,103,37,130,165,276
1/20/2015 19:00,123,39,152,163,188
1/20/2015 20:00,132,36,157,166,81
1/20/2015 21:00,127,37,161,174,65
1/20/2015 22:00,72,32,165,196,75
1/20/2015 23:00,38,-999,191,205,73
1/21/2015 0:00,8,32,219,193,106
1/21/2015 1:00,10,37,252,176,108
1/21/2015 2:00,11,47,250,180,156
1/21/2015 3:00,9,58,253,174,196
1/21/2015 4:00,8,54,240,172,163
1/21/2015 5:00,8,73,201,165,139
1/21/2015 6:00,11,75,211,165,132
1/21/2015 7:00,13,80,219,168,147
1/21/2015 8:00,15,103,215,242,142
1/21/2015 9:00,15,112,230,259,139
1/21/2015 10:00,11,111,237,217,137
1/21/2015 11:00,10,104,214,148,144
1/21/2015 12:00,15,101,162,129,135
1/21/2015 13:00,11,105,128,103,104
1/21/2015 14:00,13,105,95,73,93
1/21/2015 15:00,11,-999,103,-999,109
1/21/2015 16:00,12,136,104,-999,134
1/21/2015 17:00,18,148,106,-999,135
1/21/2015 18:00,20,154,101,-999,137
1/21/2015 19:00,33,164,124,-999,137
1/21/2015 20:00,34,203,142,-999,134
1/21/2015 21:00,42,211,163,-999,167
1/21/2015 22:00,26,111,169,-999,188
1/21/2015 23:00,31,130,161,-999,210
1/22/2015 0:00,36,136,168,-999,226
1/22/2015 1:00,44,121,168,-999,251
1/22/2015 2:00,26,135,182,-999,264
1/22/2015 3:00,35,152,187,-999,311
1/22/2015 4:00,41,163,191,-999,403
1/22/2015 5:00,35,158,199,-999,350
1/22/2015 6:00,40,158,211,-999,327
1/22/2015 7:00,64,156,241,-999,330
1/22/2015 8:00,99,158,283,-999,308
1/22/2015 9:00,163,145,296,-999,251
1/22/2015 10:00,186,124,261,-999,377
1/22/2015 11:00,158,118,252,50,396
1/22/2015 12:00,143,105,280,47,392
1/22/2015 13:00,145,95,246,46,348
1/22/2015 14:00,133,98,161,42,314
1/22/2015 15:00,101,93,151,48,343
1/22/2015 16:00,160,104,175,49,373
1/22/2015 17:00,228,115,181,53,423
1/22/2015 18:00,179,124,157,66,427
1/22/2015 19:00,178,131,131,75,412
1/22/2015 20:00,171,155,136,89,378
1/22/2015 21:00,167,147,162,106,361
1/22/2015 22:00,168,146,152,114,380
1/22/2015 23:00,235,142,148,117,445
1/23/2015 0:00,300,137,153,104,417
1/23/2015 1:00,292,139,172,87,345
1/23/2015 2:00,253,135,183,77,320
1/23/2015 3:00,217,121,200,98,333
1/23/2015 4:00,196,106,219,103,448
1/23/2015 5:00,188,98,225,99,399
1/23/2015 6:00,190,94,244,91,317
1/23/2015 7:00,201,97,256,103,246
1/23/2015 8:00,193,115,240,96,251
1/23/2015 9:00,193,134,219,83,254
1/23/2015 10:00,186,130,221,79,107
1/23/2015 11:00,198,129,242,83,100
1/23/2015 12:00,194,124,285,71,117
1/23/2015 13:00,196,124,296,54,113
1/23/2015 14:00,212,110,296,38,116
1/23/2015 15:00,211,127,284,38,129
1/23/2015 16:00,227,119,269,36,141
1/23/2015 17:00,242,122,251,44,156
1/23/2015 18:00,241,108,211,49,171
1/23/2015 19:00,257,86,165,55,188
1/23/2015 20:00,244,85,147,58,198
1/23/2015 21:00,287,81,161,87,205
1/23/2015 22:00,280,93,151,90,109
1/23/2015 23:00,254,105,187,90,62
1/24/2015 0:00,90,117,221,84,43
1/24/2015 1:00,48,114,185,85,29
1/24/2015 2:00,35,111,183,81,31
1/24/2015 3:00,20,122,170,73,29
1/24/2015 4:00,38,124,177,70,40
1/24/2015 5:00,21,131,165,62,39
1/24/2015 6:00,28,135,169,56,90
1/24/2015 7:00,90,144,194,55,107
1/24/2015 8:00,100,140,196,59,133
1/24/2015 9:00,106,138,198,66,159
1/24/2015 10:00,126,144,233,73,150
1/24/2015 11:00,112,138,243,65,154
1/24/2015 12:00,109,122,225,74,154
1/24/2015 13:00,102,114,165,88,140
1/24/2015 14:00,93,100,169,98,138
1/24/2015 15:00,93,89,155,104,132
1/24/2015 16:00,98,87,107,109,149
1/24/2015 17:00,103,95,118,119,149
1/24/2015 18:00,79,99,128,132,166
1/24/2015 19:00,77,98,135,134,179
1/24/2015 20:00,81,77,124,163,188
1/24/2015 21:00,76,55,118,115,186
1/24/2015 22:00,96,43,129,69,216
1/24/2015 23:00,100,34,149,76,237
1/25/2015 0:00,95,31,155,76,228
1/25/2015 1:00,86,34,154,79,228
1/25/2015 2:00,83,33,158,75,235
1/25/2015 3:00,78,30,172,73,230
1/25/2015 4:00,61,37,181,73,207
1/25/2015 5:00,71,37,187,68,199
1/25/2015 6:00,73,38,175,64,216
1/25/2015 7:00,87,42,171,72,213
1/25/2015 8:00,97,48,168,76,223
1/25/2015 9:00,101,52,176,86,224
1/25/2015 10:00,110,55,191,88,203
1/25/2015 11:00,118,55,227,93,210
1/25/2015 12:00,129,103,233,87,204
1/25/2015 13:00,-999,128,253,89,151
1/25/2015 14:00,127,170,227,101,148
1/25/2015 15:00,127,177,150,118,106
1/25/2015 16:00,141,230,162,116,106
1/25/2015 17:00,178,287,182,123,140
1/25/2015 18:00,177,342,197,136,153
1/25/2015 19:00,177,364,151,142,169
1/25/2015 20:00,190,281,154,141,183
1/25/2015 21:00,186,203,156,136,178
1/25/2015 22:00,204,187,179,125,177
1/25/2015 23:00,214,187,176,111,176
1/26/2015 0:00,225,174,154,103,178
1/26/2015 1:00,214,177,150,110,162
1/26/2015 2:00,233,173,141,105,167
1/26/2015 3:00,256,143,141,92,184
1/26/2015 4:00,253,85,137,94,184
1/26/2015 5:00,268,94,142,89,173
1/26/2015 6:00,226,93,141,87,144
1/26/2015 7:00,172,92,149,90,119
1/26/2015 8:00,107,82,180,87,95
1/26/2015 9:00,30,74,180,94,82
1/26/2015 10:00,21,82,168,94,66
1/26/2015 11:00,7,112,172,80,41
1/26/2015 12:00,11,116,147,85,24
1/26/2015 13:00,8,95,146,127,30
1/26/2015 14:00,6,96,142,122,15
1/26/2015 15:00,8,108,148,105,15
1/26/2015 16:00,11,117,136,96,24
1/26/2015 17:00,8,111,147,101,26
1/26/2015 18:00,6,98,158,102,29
1/26/2015 19:00,8,90,168,103,29
1/26/2015 20:00,8,89,188,105,39
1/26/2015 21:00,6,80,190,113,32
1/26/2015 22:00,7,79,197,131,27
1/26/2015 23:00,13,71,182,104,24
1/27/2015 0:00,10,80,209,88,18
1/27/2015 1:00,10,84,233,89,16
1/27/2015 2:00,14,80,192,84,18
1/27/2015 3:00,10,71,184,106,16
1/27/2015 4:00,15,65,230,90,26
1/27/2015 5:00,16,65,233,84,31
1/27/2015 6:00,13,72,228,75,24
1/27/2015 7:00,11,107,228,79,37
1/27/2015 8:00,11,120,215,87,30
1/27/2015 9:00,16,143,208,79,54
1/27/2015 10:00,15,81,200,73,32
1/27/2015 11:00,16,62,174,61,38
1/27/2015 12:00,10,46,155,69,25
1/27/2015 13:00,14,34,122,80,27
1/27/2015 14:00,11,27,96,83,30
1/27/2015 15:00,14,24,96,83,41
1/27/2015 16:00,23,24,98,73,47
1/27/2015 17:00,28,17,101,73,58
1/27/2015 18:00,32,23,125,71,67
1/27/2015 19:00,48,23,113,92,57
1/27/2015 20:00,41,20,112,127,51
1/27/2015 21:00,43,16,112,88,73
1/27/2015 22:00,41,17,92,80,93
1/27/2015 23:00,40,25,86,80,179
1/28/2015 0:00,47,24,67,71,153
1/28/2015 1:00,26,19,52,82,145
1/28/2015 2:00,27,22,44,89,248
1/28/2015 3:00,11,19,23,87,341
1/28/2015 4:00,8,17,28,72,326
1/28/2015 5:00,9,22,29,68,202
1/28/2015 6:00,8,20,28,56,172
1/28/2015 7:00,11,24,25,53,246
1/28/2015 8:00,17,28,29,49,347
1/28/2015 9:00,29,27,26,55,373
1/28/2015 10:00,20,30,37,56,222
1/28/2015 11:00,15,30,48,62,154
